Time,Value
10/1/2017 12:32:00 PM,76
10/1/2017 12:33:00 PM,65
10/1/2017 12:34:00 PM,63
10/1/2017 12:35:00 PM,65
10/1/2017 12:36:00 PM,67
10/1/2017 12:37:00 PM,75
10/1/2017 12:38:00 PM,65
10/1/2017 12:39:00 PM,62
10/1/2017 12:40:00 PM,69
10/1/2017 12:41:00 PM,89
10/1/2017 12:42:00 PM,98
10/1/2017 12:43:00 PM,100
10/1/2017 12:44:00 PM,98
10/1/2017 12:45:00 PM,99
10/1/2017 12:46:00 PM,100
10/1/2017 12:47:00 PM,89
10/1/2017 12:48:00 PM,80
10/1/2017 12:49:00 PM,68
10/1/2017 12:50:00 PM,68
10/1/2017 12:51:00 PM,86
10/1/2017 12:52:00 PM,79
10/1/2017 12:53:00 PM,86
10/1/2017 12:54:00 PM,97
10/1/2017 12:55:00 PM,99
